S NO,STATION_NUMBER,DISTRICT_NAME,BLOCK,LOCATION,LONGITUDE,LATITUDE,STATION_TYPE,TIME,cloudiness,Humidity (%),RAIN (mm),TEMPERATURE (C),Wind Direction (Deg),Wind Speed (m/s)
468,10761,Nalanda,Chandi,Narsanda,85.444569,25.355483,TRG,22JUN2020 1730 IST (12 hr FCST),1,47.7,0,36.8,122.9,5.4
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,75.4,0.1,29.9,126,4.4
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.5,37.1,0,39.8,121.6,5.5
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.8,73.9,0,31.8,82.6,3.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.3,36.3,4.4,41.8,118.8,2.5
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.4,73.2,5.1,32.7,292.5,0.5
469,10762,Nalanda,Chandi,Rukhai,85.370252,25.327374,TRG,22JUN2020 1730 IST (12 hr FCST),1,46.5,0.9,37.5,109.9,6.1
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,74.3,0,30.1,129.7,4.6
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.8,37.5,0,39.8,103,5.4
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.7,73.1,0,31.9,92.7,3.7
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.3,36.4,2.3,42.1,174.9,4.2
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.4,70,2,33.1,258.4,2.3
470,10763,Nalanda,Chandi,Salehpur,85.455515,25.298487,TRG,22JUN2020 1730 IST (12 hr FCST),0.7,45,1.9,36.9,122.1,6
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,75.7,6.2,29.9,129.4,4.2
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.9,39.7,0,39.6,112.5,5.2
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.7,73.3,0,32,101.4,3.2
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.5,36.5,0,41.6,149.2,2.4
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.4,65,0,33.3,247,5.6
471,10764,Nalanda,Chandi,Sartha,85.507523,25.364859,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,48.4,0,37.1,107,6.7
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,75.3,0.1,30,127.7,4.6
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.5,37.3,0,39.8,122.6,5.5
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.8,73.8,0,31.8,82.2,3.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.4,36.3,0.1,41.8,128,3.3
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.4,71,5.9,32.8,245.6,1.1
472,10765,Nalanda,Chandi,Sirnawa N,85.487888,25.335054,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,47,1.7,37,115.1,6.1
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,76.4,7.2,29.8,127.9,4.3
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.7,38.9,0,39.7,111.5,5.2
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.8,74.2,0,31.7,90.3,3.4
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.3,37,0,41.5,125.6,3.6
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.4,66.9,0,33.2,245.6,4.3
473,10766,Nalanda,Chandi,Tulsigarh,85.425105,25.341143,TRG,22JUN2020 1730 IST (12 hr FCST),1,46.7,0,37.3,118.2,5.3
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,75.1,1.1,30,128.2,4.4
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.7,37.9,0,39.7,105.5,5.4
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.7,73.6,0,31.8,91.1,3.5
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.4,35.7,0.1,41.9,160.8,3.3
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.4,68.9,2.9,33.1,252.3,3
474,10705,Nalanda,Ekansarai,Amanar Khas,85.218986,25.206853,TRG,22JUN2020 1730 IST (12 hr FCST),1,43.5,0,36.9,131.5,5.1
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,73.7,0,30.2,125.4,4
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.6,39.7,0,39.9,110.6,6.1
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.7,67.9,0,32.6,127,3.3
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.4,37.1,0,41.8,97,3.4
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.3,65.4,0,33.2,244.7,4.8
475,10706,Nalanda,Ekansarai,Aungari,85.267943,25.203477,TRG,22JUN2020 1730 IST (12 hr FCST),1,42.6,0,37.1,132.9,5.8
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,73.8,0,30.2,125.5,4.1
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.5,39.8,0,39.9,112.5,6.2
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,68.5,0,32.6,127.8,3.3
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.3,40.3,3.4,41.6,89.1,5.7
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.3,65.8,1.6,33.1,246.8,4.9
476,10707,Nalanda,Ekansarai,Badrabad,85.258301,25.234117,TRG,22JUN2020 1730 IST (12 hr FCST),1,43,0,37,123.7,5.6
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,73.5,0,30.2,124.3,4.1
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.6,39.7,0,40,124.8,6.3
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,70.3,0,32.3,114.4,3.1
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.3,38.9,0,41.8,120,5.7
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.3,64.9,0,33.3,246.2,4.9
477,10708,Nalanda,Ekansarai,Daniawan Pendapur,85.220992,25.23894,TRG,22JUN2020 1730 IST (12 hr FCST),1,43.8,0,36.5,126.1,5.1
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,73.5,0,30.3,123.4,3.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.5,39.3,0,40,120,5.9
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.7,70,0,32.3,110.5,3.2
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.5,38.7,5.4,42.1,120.8,4.9
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.3,65.7,0,33.3,245.4,4.5
478,10709,Nalanda,Ekansarai,Dhurgaon,85.27714,25.245517,TRG,22JUN2020 1730 IST (12 hr FCST),1,43,0,37,123.7,5.6
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,73.5,0,30.2,124.3,4.1
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.6,39.7,0,40,124.8,6.3
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,70.3,0,32.3,114.4,3.1
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.3,38.9,0,41.8,120,5.7
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.3,64.9,0,33.3,246.2,4.9
479,10710,Nalanda,Ekansarai,Ekangardih,85.2513,25.216148,TRG,22JUN2020 1730 IST (12 hr FCST),1,43.5,0,36.9,131.5,5.1
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,73.7,0,30.2,125.4,4
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.6,39.7,0,39.9,110.6,6.1
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.7,67.9,0,32.6,127,3.3
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.4,37.1,0,41.8,97,3.4
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.3,65.4,0,33.2,244.7,4.8
480,10012,Nalanda,Ekansarai,Ekangarsarai,85.22733,25.22785,TWS,22JUN2020 1730 IST (12 hr FCST),1,43.8,0,36.5,126.1,5.1
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,73.5,0,30.3,123.4,3.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.5,39.3,0,40,120,5.9
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.7,70,0,32.3,110.5,3.2
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.5,38.7,5.4,42.1,120.8,4.9
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.3,65.7,0,33.3,245.4,4.5
481,10712,Nalanda,Ekansarai,Gomhar,85.23649,25.188564,TRG,22JUN2020 1730 IST (12 hr FCST),1,43.5,0,36.9,131.5,5.1
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,73.7,0,30.2,125.4,4
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.6,39.7,0,39.9,110.6,6.1
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.7,67.9,0,32.6,127,3.3
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.4,37.1,0,41.8,97,3.4
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.3,65.4,0,33.2,244.7,4.8
482,10714,Nalanda,Ekansarai,Gyas Pur,85.181993,25.20434,TRG,22JUN2020 1730 IST (12 hr FCST),1,43.4,0,36.6,128.9,5.1
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,73.5,0,30.3,129,4.1
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.6,38.8,0,40,111.6,5.7
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.7,67.4,0,32.6,127.1,3.2
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.3,37.7,11.4,42,167.2,3.1
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.3,66.8,6,33,242.3,4.5
483,10715,Nalanda,Ekansarai,Jamuawan,85.279672,25.173953,TRG,22JUN2020 1730 IST (12 hr FCST),0.9,42.9,0,37.3,134.9,6.4
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,74.2,0,30.1,127.5,4
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.5,39.8,0,39.9,105.5,5.7
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,67.5,0,32.7,136,3.4
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.5,38.7,2,41.3,59.7,4.2
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.3,66.3,0,33,247.6,4.8
484,10716,Nalanda,Ekansarai,Keshopur,85.173685,25.237637,TRG,22JUN2020 1730 IST (12 hr FCST),1,43.6,0,36.3,126.2,5.1
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.5,73.2,0,30.3,126.8,4
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.5,38.5,0,40.1,116.3,5.7
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.7,69.6,0,32.4,107.6,3.1
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.7,36.3,0,41.7,135.8,4.2
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.3,65.1,0,33.4,244.5,4.1
485,10717,Nalanda,Ekansarai,Kosiyawan,85.237436,25.253724,TRG,22JUN2020 1730 IST (12 hr FCST),1,43.8,0,36.5,126.1,5.1
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,73.5,0,30.3,123.4,3.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.5,39.3,0,40,120,5.9
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.7,70,0,32.3,110.5,3.2
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.5,38.7,5.4,42.1,120.8,4.9
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.3,65.7,0,33.3,245.4,4.5
486,10718,Nalanda,Ekansarai,Mandachh,85.195693,25.280671,TRG,22JUN2020 1730 IST (12 hr FCST),1,44.8,0,37,130.9,4.5
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.5,73.2,1.2,30.3,124,3.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.6,37.8,0,40.1,119.8,5.5
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.8,72.6,0,32.1,96,3.3
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.8,35.1,1.5,41.7,132.5,3.8
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.3,68,0,33.4,252.1,2.4
487,10719,Nalanda,Ekansarai,Naryanpur,85.212372,25.200073,TRG,22JUN2020 1730 IST (12 hr FCST),1,43.5,0,36.9,131.5,5.1
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,73.7,0,30.2,125.4,4
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.6,39.7,0,39.9,110.6,6.1
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.7,67.9,0,32.6,127,3.3
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.4,37.1,0,41.8,97,3.4
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.3,65.4,0,33.2,244.7,4.8
488,10720,Nalanda,Ekansarai,Ope,85.30745,25.210233,TRG,22JUN2020 1730 IST (12 hr FCST),1,43.1,0,37.3,131.5,6.3
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,74,0,30.1,128.5,4.3
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.4,39.4,0,39.8,116.1,5.4
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.5,68.7,0,32.6,132.3,3.2
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.7,41.8,12.8,41.4,86.6,5.4
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.3,67.2,6.7,32.9,248.5,5
489,10721,Nalanda,Ekansarai,Parthu,85.224341,25.237039,TRG,22JUN2020 1730 IST (12 hr FCST),1,43.8,0,36.5,126.1,5.1
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,73.5,0,30.3,123.4,3.9
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.5,39.3,0,40,120,5.9
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.7,70,0,32.3,110.5,3.2
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.5,38.7,5.4,42.1,120.8,4.9
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.3,65.7,0,33.3,245.4,4.5
490,10722,Nalanda,Ekansarai,Soniyawan,85.161931,25.186323,TRG,22JUN2020 1730 IST (12 hr FCST),1,44.6,4.2,36.7,128.2,5.4
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,73.8,0,30.2,130.2,4.2
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.5,37.9,0,40.1,114.8,5.5
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.7,67.7,0,32.6,126.5,3.1
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.4,35.2,11.4,41.7,189.1,5.3
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.4,65.8,4.4,33.2,240.6,4.4
491,10723,Nalanda,Ekansarai,Telhara,85.190538,25.222616,TRG,22JUN2020 1730 IST (12 hr FCST),1,43.6,0,36.3,126.2,5.1
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.5,73.2,0,30.3,126.8,4
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.5,38.5,0,40.1,116.3,5.7
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.7,69.6,0,32.4,107.6,3.1
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.7,36.3,0,41.7,135.8,4.2
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.3,65.1,0,33.4,244.5,4.1
492,10016,Nalanda,Girriak,Adhampur,85.528875,25.036102,TWS,22JUN2020 1730 IST (12 hr FCST),0.8,42.3,0,37.4,133.6,6.5
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,75.4,0,29.7,137.8,4.2
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,41.2,0,39.4,136.5,5.1
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.6,61.5,0,33,176.8,4
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.6,38.6,7.2,40.7,133.3,3.9
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.5,66.8,3.8,32.8,248.8,5.2
493,10634,Nalanda,Girriak,Chorsua,85.257043,25.10963,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,42.6,0,37.2,130.2,6.1
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,74.6,0,30,129.2,4
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.6,39.1,0,39.8,105.8,4.9
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.6,66.3,0,32.8,143.3,3.4
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.7,36.2,0,41.3,33.4,2
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.3,66.2,0,33,250.1,5.1
494,10635,Nalanda,Girriak,Durgapur,85.562373,25.089532,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,41.3,0,37.4,137.8,6.4
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,75.2,0,29.7,136.8,4.3
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.9,40.3,0,39.5,128.2,4.2
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.7,62.1,0,33.1,174.3,3.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.6,36.6,0,41,139,3.8
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.5,66.7,3.7,32.9,250,5.1
495,10636,Nalanda,Girriak,Gajipur,85.587688,25.10038,TRG,22JUN2020 1730 IST (12 hr FCST),0.9,43.6,0,37.2,134.1,5.5
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,75.1,0,29.8,136.8,4.4
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.8,42.5,0,39.5,107.5,5.3
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.7,63.2,0,33,174.1,3.7
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.5,36.4,0,41.1,143.8,3.4
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.4,68,8.6,32.7,250.5,4.9
496,10637,Nalanda,Girriak,Ghosrawan,85.588902,25.096696,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,42.6,0,36.9,141.4,6.5
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,75.2,0,29.7,138,4.4
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,41.7,0,39.5,117.7,5
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.7,61.7,0,33.1,178.9,4
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.6,36.6,0,41,142.2,4.4
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.5,67.2,8.8,32.8,248.9,5
497,10642,Nalanda,Girriak,Girriak,85.528376,25.033049,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,42.3,0,37.4,133.6,6.5
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,75.4,0,29.7,137.8,4.2
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),1,41.2,0,39.4,136.5,5.1
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.6,61.5,0,33,176.8,4
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.6,38.6,7.2,40.7,133.3,3.9
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.5,66.8,3.8,32.8,248.8,5.2
498,10639,Nalanda,Girriak,Pokharpur,85.532053,25.094008,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,41.3,0,37.4,137.8,6.4
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,75.2,0,29.7,136.8,4.3
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.9,40.3,0,39.5,128.2,4.2
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.7,62.1,0,33.1,174.3,3.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.6,36.6,0,41,139,3.8
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.5,66.7,3.7,32.9,250,5.1
499,10641,Nalanda,Girriak,Pyarepur,85.562429,25.072309,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,41.3,0,37.4,137.8,6.4
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,75.2,0,29.7,136.8,4.3
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.9,40.3,0,39.5,128.2,4.2
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.7,62.1,0,33.1,174.3,3.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.6,36.6,0,41,139,3.8
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.5,66.7,3.7,32.9,250,5.1
500,10789,Nalanda,Harnaut,Basniyawan,85.606554,25.341606,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,51.1,0.8,37.3,95,5.3
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,75.6,0,29.9,129.2,4.4
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.7,38.7,0,39.7,125.5,5.6
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.8,73.9,0,31.8,81.2,3.8
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.3,37.7,2.7,41.7,125.9,4
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.4,69.8,2,32.8,234,1.9
501,10790,Nalanda,Harnaut,Basti,85.544528,25.380037,TRG,22JUN2020 1730 IST (12 hr FCST),0.5,50.8,1.6,37.4,97.7,6.7
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,75.7,0.8,29.9,128.5,4.5
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.6,37.7,0,39.7,122.1,5.3
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.8,73.9,0,31.8,81.8,3.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.3,36.8,0,41.7,124.9,4
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.4,70.3,5.6,32.8,239.3,1.7
502,10791,Nalanda,Harnaut,Brah,85.49268,25.355116,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,48.4,0,37.1,107,6.7
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,75.3,0.1,30,127.7,4.6
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.5,37.3,0,39.8,122.6,5.5
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.8,73.8,0,31.8,82.2,3.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.4,36.3,0.1,41.8,128,3.3
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.4,71,5.9,32.8,245.6,1.1
503,10793,Nalanda,Harnaut,Chero,85.539933,25.402988,TRG,22JUN2020 1730 IST (12 hr FCST),0.7,51.1,1,36.6,104.4,7.2
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,75.4,0,30,129,4.5
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.6,36.9,0,39.8,126.1,5.6
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.8,74.6,0,31.7,82,4.1
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.4,38.6,10,41.9,125.5,2.9
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.4,79.2,14.9,31.9,71.4,2.2
504,10794,Nalanda,Harnaut,Chouriya,85.624661,25.308844,TRG,22JUN2020 1730 IST (12 hr FCST),0.7,49.1,0.1,37.4,104.5,5
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.7,75.5,0,29.9,132.2,4.6
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.7,43,0,39.7,134.3,7.7
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.7,73.7,0,31.8,85.6,3.3
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.5,38.1,2.5,41.7,129.7,3.9
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.4,66.3,0.5,33,242.4,4.4
505,10795,Nalanda,Harnaut,Dihri,85.538646,25.380087,TRG,22JUN2020 1730 IST (12 hr FCST),0.5,50.8,1.6,37.4,97.7,6.7
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,75.7,0.8,29.9,128.5,4.5
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.6,37.7,0,39.7,122.1,5.3
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.8,73.9,0,31.8,81.8,3.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.3,36.8,0,41.7,124.9,4
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.4,70.3,5.6,32.8,239.3,1.7
506,10796,Nalanda,Harnaut,Gonawan,85.612551,25.363822,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,51.1,0.8,37.3,95,5.3
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,75.6,0,29.9,129.2,4.4
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.7,38.7,0,39.7,125.5,5.6
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.8,73.9,0,31.8,81.2,3.8
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.3,37.7,2.7,41.7,125.9,4
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.4,69.8,2,32.8,234,1.9
507,10025,Nalanda,Harnaut,Harnaut,85.53448,25.36625,TWS,22JUN2020 1730 IST (12 hr FCST),0.5,50.8,1.6,37.4,97.7,6.7
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,75.7,0.8,29.9,128.5,4.5
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.6,37.7,0,39.7,122.1,5.3
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.8,73.9,0,31.8,81.8,3.9
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.3,36.8,0,41.7,124.9,4
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.4,70.3,5.6,32.8,239.3,1.7
508,10797,Nalanda,Harnaut,Kolawan,85.461609,25.391673,TRG,22JUN2020 1730 IST (12 hr FCST),0.9,48.9,2.5,36.6,107.8,5.7
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,75.5,0.2,30,127,4.5
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.6,36.8,0,39.8,123.1,5.5
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.8,74.7,0,31.7,81.8,4.2
,,,,,,,,24JUN2020 1730 IST (60 hr FCST),0.3,40.4,14.6,41.2,72.9,2.6
,,,,,,,,25JUN2020 0530 IST (72 hr FCST),0.4,80.6,0,31.9,62.4,2.2
509,10798,Nalanda,Harnaut,Lohara,85.571861,25.356323,TRG,22JUN2020 1730 IST (12 hr FCST),0.8,51.1,0.8,37.3,95,5.3
,,,,,,,,23JUN2020 0530 IST (24 hr FCST),0.6,75.6,0,29.9,129.2,4.4
,,,,,,,,23JUN2020 1730 IST (36 hr FCST),0.7,38.7,0,39.7,125.5,5.6
,,,,,,,,24JUN2020 0530 IST (48 hr FCST),0.8,73.9,0,31.8,81.2,3.8
